Country,Agro-ecological zones,Administrative areas,Agricultural practices,Crop,Scientific name,Botanical family,Other names,Additional Information,Planting period - onset,Planting period - end,Sowing / Planting rate,Sowing/Planting rate unit,Preferred sowing/planting period,Length of the cropping cycle,Harvesting period - onset,Harvesting period - end,Comments
Burkina Faso,East Zone,"The zone covers the provinces of Gourman, Gnagnan, Tapoa, Kompienga and Komandjari.","Extensive rainfed agriculture (millet, maize, sorghum, groundnut, cowpea, cotton...) and irrigated agriculture (rice, vegetables) and extensive livestock rearing (bovine, small ruminant and poultry).",Cowpea,Vigna unguiculata (L.) Walp. subsp. unguiculata,Fabaceae,Black-eye pea,Variety: KVX 396-4-4,01/07,31/07,15-20,kg/ha,null-null,70 days,10/09,10/10,
Burkina Faso,East Zone,"The zone covers the provinces of Gourman, Gnagnan, Tapoa, Kompienga and Komandjari.","Extensive rainfed agriculture (millet, maize, sorghum, groundnut, cowpea, cotton...) and irrigated agriculture (rice, vegetables) and extensive livestock rearing (bovine, small ruminant and poultry).",Cowpea,Vigna unguiculata (L.) Walp. subsp. unguiculata,Fabaceae,Black-eye pea,Variety: KVX 396-4-5-2D,01/07,31/07,15-20,kg/ha,null-null,70 days,10/09,10/10,
Burkina Faso,East Zone,"The zone covers the provinces of Gourman, Gnagnan, Tapoa, Kompienga and Komandjari.","Extensive rainfed agriculture (millet, maize, sorghum, groundnut, cowpea, cotton...) and irrigated agriculture (rice, vegetables) and extensive livestock rearing (bovine, small ruminant and poultry).",Cowpea,Vigna unguiculata (L.) Walp. subsp. unguiculata,Fabaceae,Black-eye pea,Variety: KVX 414-22-2,01/07,15/07,15-20,kg/ha,null-null,65-70 days,10/09,25/09,
Burkina Faso,East Zone,"The zone covers the provinces of Gourman, Gnagnan, Tapoa, Kompienga and Komandjari.","Extensive rainfed agriculture (millet, maize, sorghum, groundnut, cowpea, cotton...) and irrigated agriculture (rice, vegetables) and extensive livestock rearing (bovine, small ruminant and poultry).",Cowpea,Vigna unguiculata (L.) Walp. subsp. unguiculata,Fabaceae,Black-eye pea,Variety: KVX 414-22-72,01/07,15/07,15-20,kg/ha,null-null,70 days,10/09,25/09,
Burkina Faso,East Zone,"The zone covers the provinces of Gourman, Gnagnan, Tapoa, Kompienga and Komandjari.","Extensive rainfed agriculture (millet, maize, sorghum, groundnut, cowpea, cotton...) and irrigated agriculture (rice, vegetables) and extensive livestock rearing (bovine, small ruminant and poultry).",Cowpea,Vigna unguiculata (L.) Walp. subsp. unguiculata,Fabaceae,Black-eye pea,Variety: KVX 61-1,01/07,31/07,15-20,kg/ha,null-null,70 days,10/09,10/10,
Burkina Faso,East Zone,"The zone covers the provinces of Gourman, Gnagnan, Tapoa, Kompienga and Komandjari.","Extensive rainfed agriculture (millet, maize, sorghum, groundnut, cowpea, cotton...) and irrigated agriculture (rice, vegetables) and extensive livestock rearing (bovine, small ruminant and poultry).",Cowpea,Vigna unguiculata (L.) Walp. subsp. unguiculata,Fabaceae,Black-eye pea,Variety: KVX 745-11P,01/07,31/07,15-20,kg/ha,null-null,70 days,10/09,10/10,
Burkina Faso,North Zone (Sahel),"The zone covers the provinces of Soum, Séno, Yagha, and Oudalan.","Agriculture is rainfed (millet, cowpea) and irrigated (below the dams) and extensive livestock rearing dominant. The zone is less conducive for rainfed agriculture.",Cowpea,Vigna unguiculata (L.) Walp. subsp. unguiculata,Fabaceae,Black-eye pea,Variety: Gorom local,01/07,15/07,15-20,kg/ha,null-null,75 days,15/09,30/09,
Burkina Faso,North Zone (Sahel),"The zone covers the provinces of Soum, Séno, Yagha, and Oudalan.","Agriculture is rainfed (millet, cowpea) and irrigated (below the dams) and extensive livestock rearing dominant. The zone is less conducive for rainfed agriculture.",Cowpea,Vigna unguiculata (L.) Walp. subsp. unguiculata,Fabaceae,Black-eye pea,Variety: KVX 396-4-4,01/07,31/07,15-20,kg/ha,null-null,70 days,10/09,10/10,
Burkina Faso,North Zone (Sahel),"The zone covers the provinces of Soum, Séno, Yagha, and Oudalan.","Agriculture is rainfed (millet, cowpea) and irrigated (below the dams) and extensive livestock rearing dominant. The zone is less conducive for rainfed agriculture.",Cowpea,Vigna unguiculata (L.) Walp. subsp. unguiculata,Fabaceae,Black-eye pea,Variety: KVX 396-4-5-2D,01/07,31/07,15-20,kg/ha,null-null,70 days,10/09,10/10,
Burkina Faso,North Zone (Sahel),"The zone covers the provinces of Soum, Séno, Yagha, and Oudalan.","Agriculture is rainfed (millet, cowpea) and irrigated (below the dams) and extensive livestock rearing dominant. The zone is less conducive for rainfed agriculture.",Cowpea,Vigna unguiculata (L.) Walp. subsp. unguiculata,Fabaceae,Black-eye pea,Variety: KVX 414-22-2,01/07,15/07,15-20,kg/ha,null-null,65-70 days,10/09,25/09,
Burkina Faso,North Zone (Sahel),"The zone covers the provinces of Soum, Séno, Yagha, and Oudalan.","Agriculture is rainfed (millet, cowpea) and irrigated (below the dams) and extensive livestock rearing dominant. The zone is less conducive for rainfed agriculture.",Cowpea,Vigna unguiculata (L.) Walp. subsp. unguiculata,Fabaceae,Black-eye pea,Variety: KVX 414-22-72,01/07,15/07,15-20,kg/ha,null-null,70 days,10/09,25/09,
Burkina Faso,North Zone (Sahel),"The zone covers the provinces of Soum, Séno, Yagha, and Oudalan.","Agriculture is rainfed (millet, cowpea) and irrigated (below the dams) and extensive livestock rearing dominant. The zone is less conducive for rainfed agriculture.",Cowpea,Vigna unguiculata (L.) Walp. subsp. unguiculata,Fabaceae,Black-eye pea,Variety: KVX 61-1,01/07,31/07,15-20,kg/ha,null-null,70 days,10/09,10/10,
Burkina Faso,North Zone (Sahel),"The zone covers the provinces of Soum, Séno, Yagha, and Oudalan.","Agriculture is rainfed (millet, cowpea) and irrigated (below the dams) and extensive livestock rearing dominant. The zone is less conducive for rainfed agriculture.",Cowpea,Vigna unguiculata (L.) Walp. subsp. unguiculata,Fabaceae,Black-eye pea,Variety: KVX 745-11P,01/07,31/07,15-20,kg/ha,null-null,70 days,10/09,10/10,
Burkina Faso,Northwest Zone,"The zone covers the provinces of Yatenga, Bam, Passoré, Sourou, Nayala, Kourwéogo, Loroum, and Zandoma.","Rainfed agriculture (millet, maize, sorghum, cowpeas), cash crops (cotton) and irrigated crops (rice, vegetable crops) as well as extensive livestock rearing that comprises bovine, ovine, caprine, asinine and poultry rearing.",Cowpea,Vigna unguiculata (L.) Walp. subsp. unguiculata,Fabaceae,Black-eye pea,Variety: Gorom local,01/07,15/07,15-20,kg/ha,null-null,75 days,15/09,30/09,
Burkina Faso,Northwest Zone,"The zone covers the provinces of Yatenga, Bam, Passoré, Sourou, Nayala, Kourwéogo, Loroum, and Zandoma.","Rainfed agriculture (millet, maize, sorghum, cowpeas), cash crops (cotton) and irrigated crops (rice, vegetable crops) as well as extensive livestock rearing that comprises bovine, ovine, caprine, asinine and poultry rearing.",Cowpea,Vigna unguiculata (L.) Walp. subsp. unguiculata,Fabaceae,Black-eye pea,Variety: KN-1,01/07,15/07,15-20,kg/ha,null-null,70 days,10/09,25/09,
Burkina Faso,Northwest Zone,"The zone covers the provinces of Yatenga, Bam, Passoré, Sourou, Nayala, Kourwéogo, Loroum, and Zandoma.","Rainfed agriculture (millet, maize, sorghum, cowpeas), cash crops (cotton) and irrigated crops (rice, vegetable crops) as well as extensive livestock rearing that comprises bovine, ovine, caprine, asinine and poultry rearing.",Cowpea,Vigna unguiculata (L.) Walp. subsp. unguiculata,Fabaceae,Black-eye pea,Variety: KVX 396-4-4,01/07,31/07,15-20,kg/ha,null-null,70 days,10/09,10/10,
Burkina Faso,Northwest Zone,"The zone covers the provinces of Yatenga, Bam, Passoré, Sourou, Nayala, Kourwéogo, Loroum, and Zandoma.","Rainfed agriculture (millet, maize, sorghum, cowpeas), cash crops (cotton) and irrigated crops (rice, vegetable crops) as well as extensive livestock rearing that comprises bovine, ovine, caprine, asinine and poultry rearing.",Cowpea,Vigna unguiculata (L.) Walp. subsp. unguiculata,Fabaceae,Black-eye pea,Variety: KVX 396-4-5-2D,01/07,31/07,15-20,kg/ha,null-null,70 days,10/09,10/10,
Burkina Faso,Northwest Zone,"The zone covers the provinces of Yatenga, Bam, Passoré, Sourou, Nayala, Kourwéogo, Loroum, and Zandoma.","Rainfed agriculture (millet, maize, sorghum, cowpeas), cash crops (cotton) and irrigated crops (rice, vegetable crops) as well as extensive livestock rearing that comprises bovine, ovine, caprine, asinine and poultry rearing.",Cowpea,Vigna unguiculata (L.) Walp. subsp. unguiculata,Fabaceae,Black-eye pea,Variety: KVX 414-22-2,01/07,15/07,15-20,kg/ha,null-null,65-70 days,10/09,25/09,
Burkina Faso,Northwest Zone,"The zone covers the provinces of Yatenga, Bam, Passoré, Sourou, Nayala, Kourwéogo, Loroum, and Zandoma.","Rainfed agriculture (millet, maize, sorghum, cowpeas), cash crops (cotton) and irrigated crops (rice, vegetable crops) as well as extensive livestock rearing that comprises bovine, ovine, caprine, asinine and poultry rearing.",Cowpea,Vigna unguiculata (L.) Walp. subsp. unguiculata,Fabaceae,Black-eye pea,Variety: KVX 414-22-72,01/07,15/07,15-20,kg/ha,null-null,70 days,10/09,25/09,
Burkina Faso,Northwest Zone,"The zone covers the provinces of Yatenga, Bam, Passoré, Sourou, Nayala, Kourwéogo, Loroum, and Zandoma.","Rainfed agriculture (millet, maize, sorghum, cowpeas), cash crops (cotton) and irrigated crops (rice, vegetable crops) as well as extensive livestock rearing that comprises bovine, ovine, caprine, asinine and poultry rearing.",Cowpea,Vigna unguiculata (L.) Walp. subsp. unguiculata,Fabaceae,Black-eye pea,Variety: KVX 61-1,01/07,31/07,15-20,kg/ha,null-null,70 days,10/09,10/10,
Burkina Faso,Northwest Zone,"The zone covers the provinces of Yatenga, Bam, Passoré, Sourou, Nayala, Kourwéogo, Loroum, and Zandoma.","Rainfed agriculture (millet, maize, sorghum, cowpeas), cash crops (cotton) and irrigated crops (rice, vegetable crops) as well as extensive livestock rearing that comprises bovine, ovine, caprine, asinine and poultry rearing.",Cowpea,Vigna unguiculata (L.) Walp. subsp. unguiculata,Fabaceae,Black-eye pea,Variety: KVX 745-11P,01/07,31/07,15-20,kg/ha,null-null,70 days,10/09,10/10,
Burkina Faso,West Zone,"The zone covers the provinces of Houet, Kénédougou, Comoé, Léraba, Balé, Mouhoun, Kossi, Banwa, Bougouriba, Ioba, Noumbiel, Poni, and Tuy.","Rainfed agriculture (millet, maize, sorghum, cowpeas, roots and tubers, fonio), cash crops (cotton) and irrigated crops (rice, sugarcane, vegetable crops) as well as an extensive livestock rearing.",Cowpea,Vigna unguiculata (L.) Walp. subsp. unguiculata,Fabaceae,Black-eye pea,Variety: KN-1,01/07,15/07,15-20,kg/ha,null-null,70 days,10/09,25/09,
Burkina Faso,West Zone,"The zone covers the provinces of Houet, Kénédougou, Comoé, Léraba, Balé, Mouhoun, Kossi, Banwa, Bougouriba, Ioba, Noumbiel, Poni, and Tuy.","Rainfed agriculture (millet, maize, sorghum, cowpeas, roots and tubers, fonio), cash crops (cotton) and irrigated crops (rice, sugarcane, vegetable crops) as well as an extensive livestock rearing.",Cowpea,Vigna unguiculata (L.) Walp. subsp. unguiculata,Fabaceae,Black-eye pea,Variety: KVX 396-4-4,01/07,31/07,15-20,kg/ha,null-null,70 days,10/09,10/10,
Burkina Faso,West Zone,"The zone covers the provinces of Houet, Kénédougou, Comoé, Léraba, Balé, Mouhoun, Kossi, Banwa, Bougouriba, Ioba, Noumbiel, Poni, and Tuy.","Rainfed agriculture (millet, maize, sorghum, cowpeas, roots and tubers, fonio), cash crops (cotton) and irrigated crops (rice, sugarcane, vegetable crops) as well as an extensive livestock rearing.",Cowpea,Vigna unguiculata (L.) Walp. subsp. unguiculata,Fabaceae,Black-eye pea,Variety: KVX 396-4-5-2D,01/07,31/07,15-20,kg/ha,null-null,70 days,10/09,10/10,
Burkina Faso,West Zone,"The zone covers the provinces of Houet, Kénédougou, Comoé, Léraba, Balé, Mouhoun, Kossi, Banwa, Bougouriba, Ioba, Noumbiel, Poni, and Tuy.","Rainfed agriculture (millet, maize, sorghum, cowpeas, roots and tubers, fonio), cash crops (cotton) and irrigated crops (rice, sugarcane, vegetable crops) as well as an extensive livestock rearing.",Cowpea,Vigna unguiculata (L.) Walp. subsp. unguiculata,Fabaceae,Black-eye pea,Variety: KVX 414-22-2,01/07,15/07,15-20,kg/ha,null-null,65-70 days,10/09,25/09,
Burkina Faso,West Zone,"The zone covers the provinces of Houet, Kénédougou, Comoé, Léraba, Balé, Mouhoun, Kossi, Banwa, Bougouriba, Ioba, Noumbiel, Poni, and Tuy.","Rainfed agriculture (millet, maize, sorghum, cowpeas, roots and tubers, fonio), cash crops (cotton) and irrigated crops (rice, sugarcane, vegetable crops) as well as an extensive livestock rearing.",Cowpea,Vigna unguiculata (L.) Walp. subsp. unguiculata,Fabaceae,Black-eye pea,Variety: KVX 414-22-72,01/07,15/07,15-20,kg/ha,null-null,70 days,10/09,25/09,
Burkina Faso,West Zone,"The zone covers the provinces of Houet, Kénédougou, Comoé, Léraba, Balé, Mouhoun, Kossi, Banwa, Bougouriba, Ioba, Noumbiel, Poni, and Tuy.","Rainfed agriculture (millet, maize, sorghum, cowpeas, roots and tubers, fonio), cash crops (cotton) and irrigated crops (rice, sugarcane, vegetable crops) as well as an extensive livestock rearing.",Cowpea,Vigna unguiculata (L.) Walp. subsp. unguiculata,Fabaceae,Black-eye pea,Variety: KVX 61-1,01/07,31/07,15-20,kg/ha,null-null,70 days,10/09,10/10,
Burkina Faso,West Zone,"The zone covers the provinces of Houet, Kénédougou, Comoé, Léraba, Balé, Mouhoun, Kossi, Banwa, Bougouriba, Ioba, Noumbiel, Poni, and Tuy.","Rainfed agriculture (millet, maize, sorghum, cowpeas, roots and tubers, fonio), cash crops (cotton) and irrigated crops (rice, sugarcane, vegetable crops) as well as an extensive livestock rearing.",Cowpea,Vigna unguiculata (L.) Walp. subsp. unguiculata,Fabaceae,Black-eye pea,Variety: KVX 745-11P,01/07,31/07,15-20,kg/ha,null-null,70 days,10/09,10/10,
